"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"CN4";"HDR-TH_4P-P2.54-V-F";1;"Horizontal Reset Row";;;
2;"CN6";"HDR-TH_4P-P2.54-V-F";1;"Vertical Reset Row";;;
3;"Kill_Switch2";"CONN-TH_P5.00_KF128-5.0-2P";1;"Horizontal Reset";;;
4;"Kill_Switch3";"CONN-TH_P5.00_KF128-5.0-2P";1;"Vertical Reset";;;
5;"U4";"HDR-TH_24P-P2.54-V-F";1;"R2";;;
6;"CN3";"CONN-TH_4P-P2.54_CAX_2510-4A";1;"Port Thrust";;;
7;"DepthNA1";"HDR-TH_4P-P2.54-V-F";1;"NA 1";;;
8;"Kill_Switch4";"CONN-TH_P5.00_KF128-5.0-2P";1;"Horizontal On/Off";;;
9;"Depth2";"HDR-TH_4P-P2.54-V-F";1;"Depth 2";;;
10;"CN1";"CONN-TH_4P-P2.54_CAX_2510-4A";1;"GND";;;
11;"H1";"HDR-TH_4P-P2.54-V-F";1;"Depth 1";;;
12;"Kill_Switch1";"CONN-TH_P5.00_KF128-5.0-2P";1;"Kill Switch";;;
13;"DepthNA2";"HDR-TH_4P-P2.54-V-F";1;"NA 2";;;
14;"U3";"HDR-TH_24P-P2.54-V-F";1;"R1";;;
15;"Kill_Switch5";"CONN-TH_P5.00_KF128-5.0-2P";1;"Vertical On/Off";;;
16;"U1";"HDR-TH_24P-P2.54-V-F";1;"L1";;;
17;"CN2";"CONN-TH_4P-P2.54_CAX_2510-4A";1;"Starboard Thrust";;;
18;"U2";"HDR-TH_24P-P2.54-V-F";1;"L2";;;
